1,10,2.2056e-05,2.2056e-05,7.39749e-10,2.2056e-05,3.9794e-05,3.9794e-05,9.99294e-10,3.9794e-05,5,0.581791
2,20,0.000147368,0.000162967,2.4454e-09,0.000310335,0.000182121,0.000182191,2.37729e-09,0.000364311,5,0.249338
2,20,8.37717e-05,8.56901e-05,7.69252e-10,0.000169462,9.76124e-05,9.76301e-05,8.01365e-10,0.000195242,5,0.00786093
2,20,7.43891e-05,7.60021e-05,9.08299e-10,0.000150391,8.82851e-05,8.83077e-05,9.3908e-10,0.000176593,5,0.0180419
2,20,9.66732e-05,9.94933e-05,3.49172e-09,0.000196166,0.000113174,0.000113217,3.52271e-09,0.00022639,5,0.0109995
2,20,8.48538e-05,8.7033e-05,8.74635e-10,0.000171887,9.91532e-05,9.91681e-05,8.83402e-10,0.000198321,5,0.00833408
2,20,7.41962e-05,7.64956e-05,9.66927e-10,0.000150692,8.84955e-05,8.85129e-05,9.78588e-10,0.000177008,5,0.00980039
2,20,0.000103446,0.000104726,4.35366e-09,0.000208172,0.000122625,0.000122652,5.13227e-09,0.000245276,5,0.0110565
2,20,8.76539e-05,8.94999e-05,1.19087e-09,0.000177154,0.000104092,0.00010412,1.33104e-09,0.000208212,5,0.00759893
1,10,1.48177e-05,1.48177e-05,4.68432e-10,1.48177e-05,2.42329e-05,2.42329e-05,6.83044e-10,2.42329e-05,5,0.0021648
3,20,0.000157579,0.000159968,1.42368e-09,0.000476318,0.000180754,0.000180772,1.3207e-09,0.000542293,5,0.0873962
3,20,0.00018221,0.000184616,5.83009e-09,0.000549066,0.000234802,0.000234834,1.57266e-08,0.000704454,5,0.0140966
